name,user_id,global
Baby,2,T
Bakery,2,T
Baking,2,T
Canned goods,2,T
Cheese,2,T
Coffee,2,T
Condiments,2,T
Dairy,2,T
Dairy not dairy,2,T
Deli,2,T
Ethnic,2,T
Housewares,2,T
Liquor,2,T
Meat,2,T
Pasta,2,T
Poultry,2,T
Produce,2,T
Snacks,2,T
Spices,2,T
